id,query,reference_answer,category,difficulty
q037,What is the main side effect of opioid pain relievers?,"Besides drowsiness and pain relief, the most common and problematic side effects are constipation and nausea. They also carry a high risk of respiratory depression (slowed breathing) and addiction.",side_effects,medium
q038,What is a 'CT scan'?,"A CT (Computed Tomography) scan combines a series of X-ray images taken from different angles to create cross-sectional, 3D images of the bones, blood vessels, and soft tissues inside your body. It provides more detailed images than a standard X-ray.",diagnosis,medium
q039,What is 'palliative care'?,"Palliative care is specialized medical care for people living with a serious illness. It focuses on providing relief from the symptoms and stress of the illness, with the goal of improving quality of life for both the patient and their family. It can be provided at any stage of illness.",treatment,medium
q040,What is the difference between an 'epidemic' and a 'pandemic'?,"An 'epidemic' is a disease outbreak that spreads rapidly and affects many individuals in a specific community or region. A 'pandemic' is an epidemic that has spread over multiple countries or continents, affecting a large number of people worldwide.",public_health,medium
q041,What is carpal tunnel syndrome?,"Carpal tunnel syndrome is a condition caused by pressure on the median nerve as it passes through a narrow passageway in the wrist (the carpal tunnel). It causes numbness, tingling, and weakness in the hand and arm.",disease,medium
q042,What is the recommended daily limit for sodium?,"The American Heart Association recommends no more than 2,300 milligrams (mg) a day, but ideally, most adults should aim for no more than 1,500 mg per day. High sodium intake is linked to high blood pressure.",nutrition,medium
q043,What is 'anaphylaxis'?,"Anaphylaxis is a severe, life-threatening allergic reaction. Symptoms include difficulty breathing, swelling of the throat or tongue, hives, a rapid drop in blood pressure, and dizziness. It requires immediate treatment with epinephrine.",symptom,high
q044,Why are MAOIs prescribed with so many dietary restrictions?,"MAOIs (Monoamine Oxidase Inhibitors) block an enzyme that breaks down tyramine. Eating foods high in tyramine (like aged cheeses, cured meats, and soy sauce) while on an MAOI can cause a dangerous spike in blood pressure (a hypertensive crisis).",drug_interaction,high
q045,What is the function of the pancreas?,"The pancreas has two main functions: it produces enzymes that help digest food in the small intestine, and it produces hormones, most notably insulin, which controls the body's blood sugar levels.",anatomy,medium
q046,What is Alzheimer's disease?,"Alzheimer's disease is a progressive brain disorder that slowly destroys memory and thinking skills. It is the most common cause of dementia, a general term for a decline in mental ability severe enough to interfere with daily life.",disease,medium
q047,What is a 'placebo effect'?,The placebo effect is a phenomenon where a person experiences a real improvement in their condition after receiving a treatment (a placebo) that has no active therapeutic properties. This response is believed to be triggered by the person's belief in the treatment.,treatment,medium
q048,What is a 'fever'?,"A fever is a temporary increase in your body temperature, often due to an illness or infection. It's a natural response of the body's immune system. A temperature of 100.4°F (38°C) or higher is generally considered a fever.",symptom,easy
q049,What is 'triage' in a medical context?,Triage is the process of sorting patients based on the urgency of their need for medical care. It is used in emergency rooms and at disaster sites to ensure that patients with the most life-threatening conditions are treated first.,medical_procedure,medium
q050,What is Stevens-Johnson syndrome (SJS)?,"Stevens-Johnson syndrome (SJS) is a rare, serious, and life-threatening disorder of the skin and mucous membranes. It is most often a severe reaction to a medication, causing the skin to blister and peel off.",side_effects,high
q051,What is a 'living will'?,"A living will is a written legal document, also known as an advance directive, that specifies what types of medical treatments you would or would not want in end-of-life situations if you are unable to communicate your wishes.",medical_procedure,medium
q052,What is the difference between a 'sign' and a 'symptom'?,"A 'symptom' is a subjective experience that only the patient can feel (e.g., nausea, pain, fatigue). A 'sign' is an objective, observable indicator of disease that a doctor can measure or see (e.g., a rash, fever, high blood pressure).",diagnosis,medium
q053,What is 'informed consent'?,"Informed consent is a process in which a healthcare provider educates a patient about the risks, benefits, and alternatives of a medical treatment or procedure. The patient must give permission (consent) before the treatment can be given.",medical_procedure,medium
q054,What is 'tinnitus'?,"Tinnitus is the perception of noise or ringing in the ears when no external sound is present. It is a symptom, not a disease itself, and can be caused by hearing loss, ear injury, or circulatory system disorders.",symptom,medium
q055,What is 'atrial fibrillation' (A-Fib)?,"Atrial fibrillation (A-Fib) is an irregular and often very rapid heart rhythm (arrhythmia). This can lead to blood clots forming in the heart, increasing the risk of stroke, heart failure, and other heart-related complications.",disease,medium
q056,Why can't some antibiotics be taken with dairy?,"Calcium in dairy products (like milk, yogurt, and cheese) can bind to certain antibiotics (specifically tetracyclines and fluoroquinolones) in the stomach. This prevents the antibiotic from being properly absorbed into the body, making it less effective.",drug_interaction,high
q057,What is the purpose of an 'endoscopy'?,"An endoscopy is a procedure used to visually examine your upper digestive system. A doctor uses an endoscope—a long, flexible tube with a tiny camera on the end—to look inside your esophagus, stomach, and the first part of your small intestine.",medical_procedure,medium
q058,What is 'anemia'?,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. The most common cause is iron deficiency, leading to symptoms like fatigue, weakness, and shortness of breath.",disease,easy
q059,What are 'probiotics'?,"Probiotics are live, beneficial bacteria and yeasts that are good for your health, especially your digestive system. They are often called 'good' or 'friendly' bacteria and can be found in yogurt, fermented foods, and supplements.",nutrition,easy
q060,What is 'polypharmacy'?,"Polypharmacy is the simultaneous use of multiple medications by a single patient, often to treat multiple chronic conditions. It is most common in elderly patients and increases the risk of drug interactions and adverse side effects.",geriatrics,medium
q061,What is a 'concussion'?,"A concussion is a mild traumatic brain injury (TBI) caused by a bump, blow, or jolt to the head. It can cause the brain to move or twist in the skull, resulting in symptoms like headache, confusion, dizziness, and temporary loss of consciousness.",disease,medium
q062,What is a 'false positive' in medical testing?,"A false positive is a test result that incorrectly indicates that a particular condition or attribute is present when it is not. For example, a screening test that says a person has a disease when they actually do not.",diagnosis,medium
q063,What is 'HIPAA'?,HIPAA (Health Insurance Portability and Accountability Act) is a U.S. federal law that sets national standards to protect sensitive patient health information (PHI) from being disclosed without the patient's consent or knowledge.,public_health,medium
q064,What is the 'half-life' of a drug?,The half-life of a drug is the time it takes for the amount of a drug's active substance in your body to be reduced by half. This measurement helps determine how often a drug needs to be taken (dosing interval).,treatment,high
q065,What is 'melanoma'?,"Melanoma is the most serious and dangerous type of skin cancer. It develops in the melanocytes, the cells that produce pigment (melanin). It is often caused by UV radiation from sunshine or tanning beds.",disease,medium
q066,What is the 'ABCDE' rule for moles?,"It's a guide for spotting signs of melanoma. A for Asymmetry (uneven shape), B for Border (irregular edges), C for Color (multiple colors or uneven color), D for Diameter (larger than 6mm, or a pencil eraser), and E for Evolving (changing in size, shape, or color).",diagnosis,medium
q067,What is 'tachycardia'?,"Tachycardia is the medical term for a heart rate that is too fast, specifically over 100 beats per minute while at rest. It can be a normal response to exercise or stress, but can also be a sign of an underlying medical condition.",symptom,medium
q068,What is 'bradycardia'?,"Bradycardia is the medical term for a heart rate that is too slow, typically under 60 beats per minute. For highly fit athletes, this can be normal. For others, it can be a sign of a heart problem, causing dizziness or fainting.",symptom,medium
q069,What is 'tardive dyskinesia'?,"Tardive dyskinesia is a serious side effect caused by long-term use of certain psychiatric drugs, particularly antipsychotics. It involves uncontrollable, repetitive movements, often of the face, such as grimacing, lip smacking, or eye blinking.",side_effects,high
q070,What is the 'blood-brain barrier'?,The blood-brain barrier is a highly selective semipermeable border of endothelial cells that separates the circulating blood from the brain. It protects the brain from toxins and pathogens but also makes it difficult for many medications to reach the brain.,anatomy,high
q071,What is 'antibiotic resistance'?,Antibiotic resistance occurs when bacteria and fungi evolve and develop the ability to defeat the drugs designed to kill them. This makes infections harder to treat and increases the risk of disease spread and severe illness.,disease,medium
q072,What is 'Crohn's disease'?,"Crohn's disease is a type of inflammatory bowel disease (IBD). It causes chronic inflammation of the digestive tract, which can lead to abdominal pain, severe diarrhea, fatigue, and malnutrition. It can affect any part of the GI tract from the mouth to the anus.",disease,medium
q073,What is the difference between 'Crohn's disease' and 'ulcerative colitis'?,"Both are types of IBD. The main difference is the location and nature of the inflammation. Crohn's disease can affect any part of the GI tract in patches, while ulcerative colitis is limited to the colon (large intestine) and rectum in a continuous pattern.",disease,high
q074,What is 'hospice care'?,"Hospice care is a type of care focused on the quality of life for people who are in the advanced, life-limiting stages of an illness. It provides comfort (palliative) care and support for the patient and their family, rather than curative treatment.",treatment,medium
q075,What is an 'aneurysm'?,"An aneurysm is a bulge or 'ballooning' in the wall of a blood vessel, often an artery. It's caused by a weakness in the vessel wall. If an aneurysm ruptures, it can cause life-threatening internal bleeding.",disease,medium
q076,What is a 'colonoscopy'?,"A colonoscopy is a medical procedure used to screen for colon cancer and other abnormalities. A doctor uses a colonoscope—a long, flexible tube with a camera—to examine the entire length of the colon and rectum.",medical_procedure,medium
q077,What is 'vertigo'?,"Vertigo is a symptom, not a condition itself. It's the sensation that you, or the environment around you, is moving or spinning. It is often caused by a problem with the inner ear, brain, or sensory nerve pathways.",symptom,medium
q078,Can you mix 'acetaminophen' (Tylenol) and 'ibuprofen' (Advil)?,"Yes, it is generally safe for adults to take both medications together or alternate them. They work in different ways to relieve pain and fever. However, you must not exceed the recommended daily dose for *each* medication.",drug_interaction,medium
q079,What is 'celiac disease'?,"Celiac disease is a chronic autoimmune disorder where eating gluten (a protein in wheat, barley, and rye) triggers an immune response that damages the lining of the small intestine. This prevents the absorption of nutrients.",disease,medium
q080,What is 'REM sleep'?,"REM (Rapid Eye Movement) sleep is a stage of sleep characterized by rapid eye movements, more dreaming, and bodily muscle paralysis. It is a deep stage of sleep that is crucial for memory consolidation and emotional processing.",anatomy,medium
q081,What is 'dialysis'?,Dialysis is a medical treatment for people with kidney failure. It artificially performs the function of the kidneys by filtering waste products and excess fluid from the blood when the kidneys can no longer do so.,treatment,medium
q082,What is a 'pulmonary embolism'?,A pulmonary embolism (PE) is a life-threatening blockage in one of the pulmonary arteries in your lungs. It's most often caused by a blood clot (deep vein thrombosis or DVT) that travels to the lungs from a vein in the leg.,disease,high
q083,What is 'ototoxicity'?,"Ototoxicity is damage to the inner ear (hearing or balance) caused by a medication. This side effect can be temporary or permanent and is associated with certain drugs, including some antibiotics (like gentamicin) and chemotherapy agents.",side_effects,high
q084,What is 'sarcopenia'?,"Sarcopenia is the age-related, involuntary loss of skeletal muscle mass and strength. It is a major cause of frailty, falls, and loss of independence in older adults.",geriatrics,medium
q085,What is a 'pathogen'?,"A pathogen is any organism or agent that can cause disease. Common types of pathogens include bacteria, viruses, fungi, and parasites.",disease,easy
q086,What is the difference between 'bacterial' and 'viral' infections?,"Bacterial infections are caused by bacteria (e.g., strep throat) and can often be treated with antibiotics. Viral infections are caused by viruses (e.g., the common cold, flu) and do not respond to antibiotics. Treatment for viruses usually focuses on managing symptoms.",disease,easy
q087,What is 'dementia'?,"Dementia is not a specific disease but a general term for a decline in mental ability (like memory, thinking, and language) that is severe enough to interfere with daily life. Alzheimer's disease is the most common cause of dementia.",disease,medium
q088,What is 'lactose intolerance'?,"Lactose intolerance is a digestive disorder where the body cannot fully digest lactose, a sugar found in milk and dairy products. It's caused by a deficiency of the enzyme lactase and results in symptoms like bloating, gas, and diarrhea after consuming dairy.",disease,easy
q089,What is a 'nosocomial infection'?,"A nosocomial infection, or a healthcare-associated infection (HAI), is an infection that a patient acquires while receiving treatment in a hospital or other healthcare facility. These infections, like MRSA or C. diff, are often resistant to antibiotics.",disease,high
q090,What is 'hemoglobin'?,Hemoglobin is a protein found in red blood cells that is responsible for carrying oxygen from the lungs to the rest of the body's tissues. It's also what gives blood its red color.,anatomy,medium
q091,What is 'OCD' (Obsessive-Compulsive Disorder)?,"OCD is a mental health disorder characterized by two main parts: obsessions (unwanted, intrusive thoughts or urges) and compulsions (repetitive behaviors or mental acts) that the person feels driven to perform to reduce anxiety from the obsessions.",mental_health,medium
q092,What is a 'cataract'?,"A cataract is a clouding of the normally clear lens of the eye. It's a common condition in older adults and causes vision to become blurry or dim, as if looking through a frosty window. It is treatable with surgery.",disease,medium
q093,What is a 'diuretic'?,"A diuretic, often called a 'water pill,' is a medication that helps your body get rid of excess salt (sodium) and water. They are commonly used to treat high blood pressure and edema (fluid buildup).",treatment,medium
q094,What is a 'teratogen'?,"A teratogen is any agent—such as a drug (like thalidomide), chemical, or virus—that can cause an abnormality or birth defect in a developing embryo or fetus.",side_effects,high
q095,What is 'gout'?,"Gout is a common and complex form of inflammatory arthritis. It's characterized by sudden, severe attacks of pain, redness, and tenderness in joints, often at the base of the big toe. It's caused by a buildup of uric acid crystals in the joint.",disease,medium
q096,What is the 'placebo effect'?,The placebo effect is a beneficial health outcome resulting from a person's anticipation that an intervention—like a sugar pill or saline injection—will help them. The belief in the treatment triggers a real physiological response.,treatment,medium
q097,What is 'sleep apnea'?,"Sleep apnea is a serious sleep disorder in which breathing repeatedly stops and starts during sleep. The most common type is obstructive sleep apnea (OSA), where the throat muscles relax and block the airway. Loud snoring is a major symptom.",disease,medium
q098,What is a 'generic' drug?,"A generic drug is a medication that has the exact same active ingredient, strength, dosage form, and route of administration as the brand-name drug. It is bioequivalent to the brand-name drug but is typically sold at a much lower cost after the brand-name patent expires.",treatment,easy
q099,What is 'PTSD' (Post-Traumatic Stress Disorder)?,"PTSD is a mental health condition that's triggered by experiencing or witnessing a terrifying event. Symptoms include flashbacks, nightmares, severe anxiety, and uncontrollable thoughts about the event.",mental_health,medium
q100,What is 'rhabdomyolysis'?,"Rhabdomyolysis is a rare but serious syndrome caused by the rapid breakdown of damaged muscle tissue. This releases muscle cell contents (like myoglobin) into the blood, which can overwhelm and damage the kidneys, potentially causing kidney failure. It's a rare, severe side effect of statins.",side_effects,high
q101,What is 'spondylolisthesis'?,"Spondylolisthesis is a spinal condition where one vertebra in the lower back (lumbar spine) slips forward onto the bone directly beneath it. This can put pressure on a nerve, causing lower back pain or leg pain (sciatica).",disease,high
q102,What is the 'normal' range for adult blood pressure?,A normal blood pressure reading for most adults is less than 120/80 mmHg. 120 is the systolic pressure (when the heart beats) and 80 is the diastolic pressure (when the heart rests).,diagnosis,easy
q103,What is 'psoriasis'?,"Psoriasis is a chronic autoimmune disease that causes a rapid buildup of skin cells. This scaling on the skin's surface leads to red, itchy, and scaly patches, most commonly on the knees, elbows, and scalp.",disease,medium
q104,What is a 'pulmonary function test' (PFT)?,"A PFT is a non-invasive test that measures lung function, including lung volume, capacity, and flow rates. It's used to diagnose and monitor lung diseases like asthma and COPD.",diagnosis,medium
q105,What is 'pre-eclampsia'?,"Pre-eclampsia is a serious pregnancy complication characterized by high blood pressure and signs of damage to another organ system, most often the liver and kidneys. It usually begins after 20 weeks of pregnancy in women whose blood pressure had been normal.",disease,high
q106,What is the function of 'platelets'?,"Platelets (or thrombocytes) are small, colorless cell fragments in our blood whose main function is to form clots to stop or prevent bleeding. When a blood vessel is injured, platelets clump together to plug the leak.",anatomy,medium
q107,What is a 'beta-blocker'?,"A beta-blocker is a class of medication used to manage high blood pressure, chest pain (angina), and abnormal heart rhythms. They work by blocking the effects of the hormone epinephrine (adrenaline), causing your heart to beat more slowly and with less force.",treatment,medium
q108,What is a 'benzodiazepine'?,"Benzodiazepines are a class of psychoactive drugs used to treat anxiety, insomnia, seizures, and panic disorders. They are depressants that enhance the effect of the neurotransmitter GABA, resulting in a calming effect. They have a high potential for dependence.",treatment,high
q109,What is 'Sjögren's syndrome'?,Sjögren's syndrome is an autoimmune disorder primarily identified by its two most common symptoms: dry eyes and a dry mouth. The body's immune system attacks the glands that produce tears and saliva.,disease,high
q110,What is the main risk of combining 'Viagra' (sildenafil) and 'nitrates'?,"Combining sildenafil (Viagra) with nitrates (medications for chest pain, like nitroglycerin) is extremely dangerous. Both drugs cause blood vessels to widen, and together they can cause a sudden, severe, and life-threatening drop in blood pressure.",drug_interaction,high
q111,What is 'fibromyalgia'?,"Fibromyalgia is a chronic disorder characterized by widespread musculoskeletal pain, fatigue, and tenderness in localized areas. It is often accompanied by sleep, memory, and mood issues. The exact cause is unknown.",disease,medium
q112,What is a 'lumbar puncture' (spinal tap)?,"A lumbar puncture is a medical procedure where a needle is inserted into the spinal canal in the lower back (lumbar area) to collect cerebrospinal fluid (CSF). It is used to diagnose conditions affecting the brain and spinal cord, like meningitis.",medical_procedure,high
q113,What is 'MRSA'?,"MRSA (Methicillin-resistant Staphylococcus aureus) is a type of 'staph' bacteria that is resistant to many common antibiotics, including methicillin. This makes MRSA infections difficult to treat. It often causes skin infections but can become life-threatening if it enters the bloodstream.",disease,medium
q114,What is 'nephrotoxicity'?,"Nephrotoxicity is a side effect where a drug or toxin causes damage to the kidneys. Certain antibiotics, NSAIDs, and contrast dyes used in imaging can be nephrotoxic, especially in high doses or in patients with pre-existing kidney problems.",side_effects,high
q115,What is the difference between 'hypothyroidism' and 'hyperthyroidism'?,"Hypothyroidism (underactive thyroid) is when the thyroid gland doesn't produce enough thyroid hormone, leading to fatigue, weight gain, and feeling cold. Hyperthyroidism (overactive thyroid) is when it produces too much, causing weight loss, rapid heartbeat, and anxiety.",disease,medium
q116,What is 'leukemia'?,"Leukemia is a type of cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system. It results in the overproduction of abnormal white blood cells, which impairs the body's ability to fight infection.",disease,medium
q117,What is 'lymphoma'?,"Lymphoma is a cancer of the lymphatic system, which is part of the body's immune network. It involves lymphocytes, a type of white blood cell. The main types are Hodgkin's lymphoma and non-Hodgkin's lymphoma.",disease,medium
q118,What is 'BMI'?,"BMI (Body Mass Index) is a value derived from a person's mass (weight) and height. It is used as a simple screening tool to categorize weight as underweight, normal weight, overweight, or obese. It does not directly measure body fat.",diagnosis,easy
q119,What is 'macular degeneration'?,"Age-related macular degeneration (AMD) is a common eye condition and a leading cause of vision loss among people age 50 and older. It causes damage to the macula, the part of the retina responsible for sharp, central vision.",disease,medium
q120,What is 'bipolar disorder'?,"Bipolar disorder is a mental health condition that causes extreme mood swings that include emotional highs (mania or hypomania) and lows (depression). These mood shifts can affect sleep, energy, judgment, and behavior.",mental_health,medium
q121,What is 'angina'?,"Angina is chest pain or discomfort caused by reduced blood flow to the heart muscle. It is not a heart attack, but it is a warning sign that you are at increased risk for one. It's a symptom of underlying coronary artery disease.",symptom,medium
q122,What is 'candidiasis'?,"Candidiasis is a fungal infection caused by a yeast (a type of fungus) called Candida. It most commonly occurs in the mouth (thrush), in the vagina (yeast infection), or on the skin.",disease,medium
q123,What is 'pharmacokinetics'?,"Pharmacokinetics is the branch of pharmacology that studies how the body affects a drug. It is often summarized as 'what the body does to the drug' and includes the processes of Absorption, Distribution, Metabolism, and Excretion (ADME).",treatment,high
q124,What is 'pharmacodynamics'?,"Pharmacodynamics is the study of the biochemical and physiological effects of drugs on the body. It is often summarized as 'what the drug does to the body,' including the drug's mechanism of action and its effects.",treatment,high
q125,What is 'triage'?,"Triage is the process of sorting patients based on the urgency of their medical needs. In an emergency room, this ensures that patients with the most life-threatening conditions (like a heart attack) are seen before patients with minor conditions (like a sprained ankle).",medical_procedure,medium
q126,What is 'edema'?,"Edema is the medical term for swelling caused by excess fluid trapped in your body's tissues. It most often occurs in the feet, ankles, and legs, but can affect any part of the body. It can be a sign of heart failure, kidney disease, or other conditions.",symptom,medium
q127,What is a 'contraindication'?,"A contraindication is a specific situation, condition, or factor that makes a particular drug, procedure, or treatment inadvisable or potentially harmful. For example, pregnancy is a contraindication for taking the drug isotretinoin (Accutane).",treatment,high
q128,What is 'sciatica'?,"Sciatica is nerve pain from an injury or irritation to the sciatic nerve, which is the longest and thickest nerve in the body. The pain radiates along the path of the nerve, from the lower back down through the hips and buttocks and down one leg.",symptom,medium
q129,What is a 'C-section'?,A C-section (Cesarean section) is a surgical procedure used to deliver a baby through incisions in the mother's abdomen and uterus. It is often performed when a vaginal delivery is not safe for the mother or baby.,medical_procedure,easy
q130,What is 'Rosacea'?,"Rosacea is a common, chronic skin condition that causes blushing or flushing and visible blood vessels in your face. It may also produce small, red, pus-filled bumps. These symptoms can flare up for weeks to months and then go away for a while.",disease,medium
q131,What is a 'HMO' vs 'PPO' health insurance plan?,"A HMO (Health Maintenance Organization) plan typically requires you to use doctors and hospitals within its network and requires a referral from a primary care physician (PCP) to see a specialist. A PPO (Preferred Provider Organization) plan offers more flexibility, allowing you to see out-of-network providers (at a higher cost) and see specialists without a referral.",public_health,medium
q132,What is 'shingles'?,"Shingles (herpes zoster) is a viral infection that causes a painful rash, usually as a stripe of blisters on one side of the torso. It is caused by the varicella-zoster virus, the same virus that causes chickenpox. The virus remains dormant and can reactivate later in life as shingles.",disease,medium
q133,What is an 'ACE inhibitor'?,"An ACE (Angiotensin-Converting Enzyme) inhibitor is a class of medication used to treat high blood pressure and heart failure. It works by relaxing blood vessels, which lowers blood pressure and makes it easier for the heart to pump blood.",treatment,medium
